1,You are standing in the center of a small wooden building. Apparently
1,it was once used as a storage shack for mining tools, for there are
1,hooks on the walls, but all are empty now. The floor is covered with
1,dust, and it appears that no one has been here for some time. There
1,are several windows which let in a small amount of light, and some
1,empty shelves on the walls. There is a door in the north wall, and
1,a small trapdoor in the floor.
2,You are in the cellar of the shack. The walls are composed of a sparkling
2,rough stone. There is a trapdoor in the ceiling and an opening to the east.
3,You are in a cave chamber with walls of granite. Passages lead
3,north, south, and west.
4,You are in the forest.
5,You are in a glowing cave chamber filled with phosphorescent rocks.
5,Passages lead north and south.
6,You are in a library. The walls are lined with shelves containing many
6,books, with titles such as "Creatures of the Past", "The Mystery of the
6,Moaning Cave", "Demons, Monsters, and Abodes of the Dead", "The Secret
6,of the Caves", and many more. Passages lead north and east.
7,You are in a room filled with buzzing mosquitoes. There is a small
7,pool of stagnant water in the northwest corner of the room. Passages
7,lead south and east.
8,You are in a cubical chamber with walls of pure gold. Carved
8,into one wall is the message "All that glitters in this cave is not
8,gold". Passages lead east and west.
9,You are in a cubical chamber with walls of pure silver. Carved
9,into one wall is the message "All that glitters in this cave is not
9,silver". Passages lead south and west.
10,You are in a room with walls of soft earth. Running across the walls
10,are bare electrical wires. Floating in the center of the room in
10,midair, unattached to walls or ceiling, is an electrical receptacle.
10,Passages lead north and west.
11,You are in a cubical chamber with walls of pure platinum. Carved
11,into one wall is the message "All that glitters in this cave is not
11,platinum". Passages lead north and south.
12,You are in a room whose walls are lined with glass cases filled
12,with assorted weapons. There is a sign on the wall, lettered in
12,red block letters, which reads "No Smoking - By Order of the
12,Explorer Grandmaster". Passages lead south and east.
13,You are in a room whose walls are lined with metal stands
13,supporting battle axes, spears, lances, and javelins. All are
13,locked in place. A single spear compartment is empty. Passages
13,lead north and east.
14,You are in a heated room with glowing red walls. Passages lead
14,east and west.
15,You are in Elbow Pipe, a steel tunnel. There is a single strip of
15,red carpet down the center of the tunnel to walk upon. Passages
15,lead south and west.
16,You are in a fairly long corridor lit by torches lining the walls.
16,Passages lead north and south.
17,You are in a room with a small sandy beach to one side. The beach
17,lines a pond of water, filled by a subterranean spring which
17,bubbles water up on the far side of the pond. Passages exit to
17,the north and south.
18,You are in Elbow Pipe II, a steel tunnel. Down the center of the
18,tunnel is a green carpet for walking upon. Passages lead north
18,and west.
19,You are in the Hall of the Sorcerer. The walls are paneled wood,
19,and the walls are lined with red velvet curtains. Passages exit
19,to the north and south.
20,You are in the lower cross room. The walls are made of rough,
20,unsanded wood. Passages lead north and south.
21,You are in the Explore Auxiliary Control Center. Along
21,one wall are disk drives (and several tape drives), along
21,the other are 4 CPUs, an IOM, DATANET, and 6 SCUs (not to
21,mention 2M words of main memory. There is also an operator's console
21,nearby. A passage exits to the west.
22,You are at the Crossroads. Passages lead north, south, east, west, and
22,down.
23,You are on the west side of the abyss. A single passage leads east
23,10 feet, and then promptly turns straight down into the abyss.
24,You are at the brink of a 1000-foot deep abyss. A dim passage
24,is visible across the hole on the other side. A passage exits to the
24,east.
25,You are in a complex circuitry of tunnels.
26,You are in a room with walls of slate. They are covered with
26,grafitti, presumably put there by visitors to the cave. Passages
26,lead east and west.
27,You are in a complex circuitry of tunnels.
28,You are in a complex circuitry of tunnels.
29,You are in a complex circuitry of tunnels.
30,You are in a complex circuitry of tunnels.
31,You are in a complex circuitry of tunnels.
32,You are at the west end of a long hall stretching out of sight to the
32,east.
33,You are at the middle of a long hall stretching out of sight to the
33,east and west.
34,You are at the east end of a long hall stretching out of sight to the
34,west.
35,You are in an extremely dark room. Your flashlight beam stops
35,one inch from the end of the flashlight casing, and there seems to be
35,an evil presence in the room.
36,You are in a very thin room, and
36,it is difficult to breathe. Passages lead east and west.
37,You are in a chamber with waterfalls on either side. They are
37,lit from behind by powerful multi-colored spotlights. Passages lead
37,south and east.
38,You are in a short hall with holes in the ceiling through which sand
38,is pouring. Passages lead east and west.
39,You are in Elbow Pipe III, a steel tunnel. Passages lead
39,north and south.
40,You are in a metal tunnel that leads north and south.
41,You are in a cylindrical room with walls and floor covered
41,with thick, soft fur. Passages lead north, east, and west.
42,You are in a room whose walls are lined with VIP7801s, all hardwired
42,to the Explore Multics. The floor is covered by a soft green carpet.
42,Passages lead east and west.
43,You are in the Lippard room. Pictures of spotted leopards and black
43,panthers line the walls. Passages lead east and west.
44,You are in the Chamber of Ages. Ancient sculptures are set on
44,pedestals around the room. Many glare at you menacingly, appearing
44,to be almost alive. The base of each statue is labeled with
44,a gold plaque. One reads:
44,              Merlin
44,              Magician
44,          1159 - ???? A.D.
44,      "Time/Space Ducts are always nearby"
44,A passage leads north.
45,You are in a room filled with glaring light from nowhere. It
45,is very difficult to see. Passages (barely visible) lead south and
45,west.
